,country,Life Satisfaction,Life Satisfaction latest year,Log GDP per capita,Log GDP per capita latest year,Social support,Social support latest year,Healthy life expectancy at birth,Healthy life expectancy at birth latest year,Positive Affect: % of time spent happy,Positive Affect: % of time spent happy latest year,Negative Affect: % of time feeling negative emotions,Negative Affect: % of time feeling negative emotions latest year,Confidence in national government,Confidence in national government latest year,Gini Index: Income Inequality,Gini Index: Income Inequality latest year
149,Ukraine,4.661909103,2018.0,9.012026787,2018.0,0.9009367229999999,2018.0,64.59999847,2018.0,0.608771086,2018.0,0.22185148300000002,2018.0,0.079710059,2018.0,0.265,2018.0
150,United Arab Emirates,6.603743552999999,2018.0,11.12767792,2018.0,0.8510413170000001,2018.0,67.09999847,2018.0,0.787243485,2018.0,0.302041829,2018.0,,2018.0,,2018.0
151,United Kingdom,7.233445167999999,2018.0,10.59694767,2018.0,0.9284839029999999,2018.0,72.30000305,2018.0,0.7831718329999999,2018.0,0.228275612,2018.0,0.420859873,2018.0,0.341083333,2018.0
152,United States of America,6.882684707999999,2018.0,10.92246532,2018.0,0.9038560390000001,2018.0,68.30000305,2018.0,0.8153826,2018.0,0.292226255,2018.0,0.3138161,2018.0,0.40816666700000004,2018.0
153,Uruguay,6.371714592000001,2018.0,9.959661484,2018.0,0.9173156020000001,2018.0,69.0,2018.0,0.876920342,2018.0,0.274945587,2018.0,0.36170604799999995,2018.0,0.427363636,2018.0
154,Uzbekistan,6.205460072,2018.0,8.773365021,2018.0,0.9208210109999999,2018.0,65.09999847,2018.0,0.825421572,2018.0,0.208660305,2018.0,0.969356358,2018.0,0.348,2018.0
155,Venezuela,5.005663395,2018.0,9.270280838,2018.0,0.886882067,2018.0,66.5,2018.0,0.759221494,2018.0,0.37365761399999997,2018.0,0.260699689,2018.0,0.497166667,2018.0
156,Vietnam,5.295547009,2018.0,8.783415794,2018.0,0.83194524,2018.0,67.90000153,2018.0,0.6922224159999999,2018.0,0.191061363,2018.0,,2018.0,0.36275,2018.0
157,Yemen,3.057513952,2018.0,,2018.0,0.7894219159999999,2018.0,56.70000076,2018.0,0.461113781,2018.0,0.31486994,2018.0,0.308151186,2018.0,0.35700000000000004,2018.0
158,Zambia,4.041488171,2018.0,8.223958015,2018.0,0.717720389,2018.0,55.29999924,2018.0,0.702697575,2018.0,0.350962847,2018.0,0.606715262,2018.0,0.5274,2018.0
159,Zimbabwe,3.616479874,2018.0,7.553394794,2018.0,0.7753884790000001,2018.0,55.59999847,2018.0,0.7101186509999999,2018.0,0.21172584600000002,2018.0,0.550507784,2018.0,0.43200000000000005,2018.0
